P_n,gap,log2_P,cramer_ratio,q_obs,q_pred,error_pct
89,8,20.15,0.397,1.4912,1.4633,1.9
113,14,22.35,0.626,1.6408,1.5582,5.3
523,18,39.18,0.459,1.5461,1.4618,5.8
887,20,46.07,0.434,1.4210,1.4413,-1.4
1129,22,49.41,0.445,1.3757,1.4398,-4.5
1327,34,51.71,0.658,1.5407,1.4904,3.4
9551,36,83.99,0.429,1.3706,1.3910,-1.5
15683,44,93.32,0.472,1.3817,1.3917,-0.7
19609,52,97.69,0.532,1.3743,1.3998,-1.8
31397,72,107.21,0.672,1.4240,1.4130,0.8
155921,86,142.97,0.602,1.3769,1.3725,0.3
360653,96,163.73,0.586,1.3457,1.3567,-0.8
370261,112,164.40,0.681,1.3705,1.3680,0.2
492113,114,171.78,0.664,1.3428,1.3614,-1.4
1349533,118,199.24,0.592,1.3331,1.3380,-0.4
1357201,132,199.40,0.662,1.3364,1.3458,-0.7
2010733,148,210.66,0.703,1.3385,1.3443,-0.4
4652353,154,235.71,0.653,1.3039,1.3281,-1.8
17051707,180,277.28,0.649,1.2943,1.3119,-1.3
20831323,210,283.99,0.740,1.3064,1.3173,-0.8
47326693,220,312.32,0.704,1.2941,1.3052,-0.8
